KEYS,,DECK-SELECTED,,,,CH0,CH1,CH2,LED,,,,,,,,
S1 PLAY,,,PUSH,ON/OFF,ON,90,22,7F,7F,144,34,127,144,34,127,blink,20
,,,PULL,ON/OFF,OFF,90,22,0,0,144,34,0,,,,,
S2 PLAY,,,PUSH,ON/OFF,ON,90,23,7F,7F,144,35,127,144,35,127,blink,20
,,,PULL,ON/OFF,OFF,90,23,0,0,144,35,0,,,,,
S3 PLAY,,,PUSH,ON/OFF,ON,90,24,7F,7F,144,36,127,144,36,127,blink,20
,,,PULL,ON/OFF,OFF,90,24,0,0,144,36,0,,,,,
S4 PLAY,,,PUSH,ON/OFF,ON,90,25,7F,7F,144,37,127,144,37,127,blink,20
,,,PULL,ON/OFF,OFF,90,25,0,0,144,37,0,,,,,
CUE C,,,PUSH,ON/OFF,ON,90,26,7F,7F,144,38,127,144,38,127,blink,20
,,,PULL,ON/OFF,OFF,90,26,0,0,144,38,0,,,,,
CUE A,,,PUSH,ON/OFF,ON,90,27,7F,7F,144,39,127,144,39,127,blink,20
,,,PULL,ON/OFF,OFF,90,27,0,0,144,39,0,,,,,
CUE B,,,PUSH,ON/OFF,ON,90,28,7F,7F,144,40,127,144,40,127,blink,20
,,,PULL,ON/OFF,OFF,90,28,0,0,144,40,0,,,,,
CUE D,,,PUSH,ON/OFF,ON,90,29,7F,7F,144,41,127,144,41,127,blink,20
,,,PULL,ON/OFF,OFF,90,29,0,0,144,41,0,,,,,
A,,,PUSH,ON/OFF,ON,90,2A,7F,7F,144,42,127,144,42,127,blink,20
,,,PULL,ON/OFF,OFF,90,2A,0,0,144,42,0,,,,,
B,,,PUSH,ON/OFF,ON,90,2B,7F,7F,144,43,127,144,43,127,blink,20
,,,PULL,ON/OFF,OFF,90,2B,0,0,144,43,0,,,,,
C,,,PUSH,ON/OFF,ON,90,2C,7F,7F,144,44,127,144,44,127,blink,20
,,,PULL,ON/OFF,OFF,90,2C,0,0,144,44,0,,,,,
D,,,PUSH,ON/OFF,ON,90,2D,7F,7F,144,45,127,144,45,127,blink,20
,,,PULL,ON/OFF,OFF,90,2D,0,0,144,45,0,,,,,
DECK A/C,LED-OFF,DECK A,,DECK,ON,90,3A,0,LED OFF,144,58,0,144,58,0,blink,20
,,,,,OFF,90,3B,7F,,144,59,127,,,,,
,LED-ON,DECK C,,DECK,ON,90,3B,0,LED ON,144,59,0,144,59,0,blink,20
,,,,,OFF,90,3A,7F,,144,58,127,,,,,
VINYL MODE L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,1,7F,7F,145,1,127,145,1,127,blink,20
,,,PULL,ON/OFF,OFF,91,1,0,0,145,1,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,1,7F,7F,147,1,127,147,1,127,blink,20
,,,PULL,ON/OFF,OFF,93,1,0,0,147,1,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,41,7F,7F,145,65,127,145,65,127,blink,20
,,,PULL,ON/OFF,OFF,91,41,0,0,145,65,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,41,7F,7F,147,65,127,147,65,127,blink,20
,,,PULL,ON/OFF,OFF,93,41,0,0,147,65,0,,,,,
IN L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,2,7F,7F,145,2,127,145,2,127,blink,20
,,,PULL,ON/OFF,OFF,91,2,0,0,145,2,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,2,7F,7F,147,2,127,147,2,127,blink,20
,,,PULL,ON/OFF,OFF,93,2,0,0,147,2,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,42,7F,7F,145,66,127,145,66,127,blink,20
,,,PULL,ON/OFF,OFF,91,42,0,0,145,66,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,42,7F,7F,147,66,127,147,66,127,blink,20
,,,PULL,ON/OFF,OFF,93,42,0,0,147,66,0,,,,,
OUT L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,3,7F,7F,145,3,127,145,3,127,blink,20
,,,PULL,ON/OFF,OFF,91,3,0,0,145,3,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,3,7F,7F,147,3,127,147,3,127,blink,20
,,,PULL,ON/OFF,OFF,93,3,0,0,147,3,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,43,7F,7F,145,67,127,145,67,127,blink,20
,,,PULL,ON/OFF,OFF,91,43,0,0,145,67,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,43,7F,7F,147,67,127,147,67,127,blink,20
,,,PULL,ON/OFF,OFF,93,43,0,0,147,67,0,,,,,
RE L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,4,7F,7F,145,4,127,145,4,127,blink,20
,,,PULL,ON/OFF,OFF,91,4,0,0,145,4,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,4,7F,7F,147,4,127,147,4,127,blink,20
,,,PULL,ON/OFF,OFF,93,4,0,0,147,4,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,44,7F,7F,145,68,127,145,68,127,blink,20
,,,PULL,ON/OFF,OFF,91,44,0,0,145,68,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,44,7F,7F,147,68,127,147,68,127,blink,20
,,,PULL,ON/OFF,OFF,93,44,0,0,147,68,0,,,,,
SYNC L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,5,7F,7F,145,5,127,145,5,127,blink,20
,,,PULL,ON/OFF,OFF,91,5,0,0,145,5,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,5,7F,7F,147,5,127,147,5,127,blink,20
,,,PULL,ON/OFF,OFF,93,5,0,0,147,5,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,45,7F,7F,145,69,127,145,69,127,blink,20
,,,PULL,ON/OFF,OFF,91,45,0,0,145,69,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,45,7F,7F,147,69,127,147,69,127,blink,20
,,,PULL,ON/OFF,OFF,93,45,0,0,147,69,0,,,,,
1 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,6,7F,7F,145,6,127,145,6,127,blink,20
,,,PULL,ON/OFF,OFF,91,6,0,0,145,6,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,6,7F,7F,147,6,127,147,6,127,blink,20
,,,PULL,ON/OFF,OFF,93,6,0,0,147,6,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,46,7F,7F,145,70,127,145,70,127,blink,20
,,,PULL,ON/OFF,OFF,91,46,0,0,145,70,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,46,7F,7F,147,70,127,147,70,127,blink,20
,,,PULL,ON/OFF,OFF,93,46,0,0,147,70,0,,,,,
2 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,7,7F,7F,145,7,127,145,7,127,blink,20
,,,PULL,ON/OFF,OFF,91,7,0,0,145,7,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,7,7F,7F,147,7,127,147,7,127,blink,20
,,,PULL,ON/OFF,OFF,93,7,0,0,147,7,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,47,7F,7F,145,71,127,145,71,127,blink,20
,,,PULL,ON/OFF,OFF,91,47,0,0,145,71,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,47,7F,7F,147,71,127,147,71,127,blink,20
,,,PULL,ON/OFF,OFF,93,47,0,0,147,71,0,,,,,
3 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,8,7F,7F,145,8,127,145,8,127,blink,20
,,,PULL,ON/OFF,OFF,91,8,0,0,145,8,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,8,7F,7F,147,8,127,147,8,127,blink,20
,,,PULL,ON/OFF,OFF,93,8,0,0,147,8,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,48,7F,7F,145,72,127,145,72,127,blink,20
,,,PULL,ON/OFF,OFF,91,48,0,0,145,72,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,48,7F,7F,147,72,127,147,72,127,blink,20
,,,PULL,ON/OFF,OFF,93,48,0,0,147,72,0,,,,,
4 L,NO SHIFT,DECK A,PUSH,ON/OFF,ON,91,9,7F,7F,145,9,127,145,9,127,blink,20
,,,PULL,ON/OFF,OFF,91,9,0,0,145,9,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,9,7F,7F,147,9,127,147,9,127,blink,20
,,,PULL,ON/OFF,OFF,93,9,0,0,147,9,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,91,49,7F,7F,145,73,127,145,73,127,blink,20
,,,PULL,ON/OFF,OFF,91,49,0,0,145,73,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,93,49,7F,7F,147,73,127,147,73,127,blink,20
,,,PULL,ON/OFF,OFF,93,49,0,0,147,73,0,,,,,
